      Step     Time          Energy          fmax
BFGS:    0 11:24:10     -700.697777       81.072094
BFGS:    1 11:33:41     -733.535842       17.839708
BFGS:    2 11:43:05     -736.688834       10.872012
BFGS:    3 11:54:27     -739.225869        3.484637
BFGS:    4 12:04:46     -739.564997        1.668766
BFGS:    5 12:13:22     -739.630603        1.021382
BFGS:    6 12:20:28     -739.662869        0.478773
BFGS:    7 12:26:06     -739.675733        0.144973
BFGS:    8 12:31:40     -739.677039        0.043463
