      Step     Time          Energy          fmax
BFGS:    0 13:51:51     -700.878831       81.091128
BFGS:    1 13:57:13     -733.824715       17.739508
BFGS:    2 14:01:16     -736.891468       10.823916
BFGS:    3 14:05:04     -739.380799        3.526332
BFGS:    4 14:08:55     -739.737978        1.562058
BFGS:    5 14:12:06     -739.798558        0.953486
BFGS:    6 14:15:04     -739.825194        0.446884
BFGS:    7 14:18:04     -739.837079        0.159518
BFGS:    8 14:20:08     -739.838941        0.054231
BFGS:    9 14:21:46     -739.839157        0.010437
