      Step     Time          Energy          fmax
BFGS:    0 15:33:38     -701.044680       81.077442
BFGS:    1 15:38:23     -734.095518       17.659938
BFGS:    2 15:42:27     -737.090668       10.767121
BFGS:    3 15:46:35     -739.521000        3.575317
BFGS:    4 15:50:27     -739.899219        1.472598
BFGS:    5 15:53:42     -739.958548        0.860403
BFGS:    6 15:56:45     -739.979809        0.456930
BFGS:    7 15:59:55     -739.991000        0.150018
BFGS:    8 16:02:22     -739.992645        0.061488
BFGS:    9 16:04:03     -739.992894        0.005322
