      Step     Time          Energy          fmax
BFGS:    0 16:09:46     -702.050092       79.583806
BFGS:    1 16:14:30     -734.376275       17.191155
BFGS:    2 16:17:56     -737.264421       10.516001
BFGS:    3 16:22:01     -739.633171        3.486439
BFGS:    4 16:25:41     -740.002473        1.409636
BFGS:    5 16:28:41     -740.058821        0.823564
BFGS:    6 16:31:16     -740.077856        0.440231
BFGS:    7 16:34:04     -740.088377        0.161138
BFGS:    8 16:36:00     -740.090155        0.045530
