      Step     Time          Energy          fmax
BFGS:    0 13:16:24     -702.703459       78.084851
BFGS:    1 13:21:41     -734.109190       16.928315
BFGS:    2 13:25:55     -737.046487       10.391472
BFGS:    3 13:30:16     -739.470557        3.298335
BFGS:    4 13:34:06     -739.788733        1.550785
BFGS:    5 13:37:42     -739.846874        0.958997
BFGS:    6 13:40:59     -739.874540        0.458132
BFGS:    7 13:44:00     -739.886430        0.149045
BFGS:    8 13:46:19     -739.887836        0.042053
