      Step     Time          Energy          fmax
BFGS:    0 14:59:38     -702.877748       78.098907
BFGS:    1 15:05:38     -734.388393       16.845544
BFGS:    2 15:09:43     -737.246265       10.325756
BFGS:    3 15:14:10     -739.610018        3.350570
BFGS:    4 15:18:00     -739.950473        1.442819
BFGS:    5 15:21:22     -740.005598        0.869059
BFGS:    6 15:24:04     -740.027286        0.456631
BFGS:    7 15:26:45     -740.038794        0.155415
BFGS:    8 15:28:46     -740.040335        0.043392
