      Step     Time          Energy          fmax
BFGS:    0 12:41:06     -701.709974       79.569250
BFGS:    1 12:46:14     -733.826332       17.377637
BFGS:    2 12:50:43     -736.870738       10.629147
BFGS:    3 12:55:26     -739.349111        3.403389
BFGS:    4 12:59:20     -739.678816        1.611481
BFGS:    5 13:02:59     -739.739985        0.990673
BFGS:    6 13:05:51     -739.770017        0.469414
BFGS:    7 13:08:58     -739.782494        0.146020
BFGS:    8 13:11:05     -739.783814        0.040979
