      Step     Time          Energy          fmax
BFGS:    0 14:26:49     -701.887611       79.589114
BFGS:    1 14:31:28     -734.110162       17.288318
BFGS:    2 14:35:51     -737.072026       10.561762
BFGS:    3 14:40:02     -739.493108        3.460065
BFGS:    4 14:43:51     -739.845957        1.506092
BFGS:    5 14:47:01     -739.903498        0.915059
BFGS:    6 14:49:58     -739.927679        0.441874
BFGS:    7 14:52:38     -739.939109        0.174246
BFGS:    8 14:54:42     -739.941028        0.042161
