      Step     Time          Energy          fmax
BFGS:    0 02:38:20        5.664890       77.903156
BFGS:    1 02:43:29      -25.639133       16.044458
BFGS:    2 02:47:30      -28.205951        9.993509
BFGS:    3 02:51:44      -30.439990        3.333779
BFGS:    4 02:55:18      -30.797991        1.406279
BFGS:    5 02:58:39      -30.859669        0.835767
BFGS:    6 03:01:05      -30.879538        0.434978
BFGS:    7 03:03:33      -30.888893        0.178128
BFGS:    8 03:05:36      -30.890833        0.036976
