      Step     Time          Energy          fmax
BFGS:    0 00:05:54        7.707638       80.923094
BFGS:    1 00:10:52      -24.939011       17.062874
BFGS:    2 00:14:42      -27.790597       10.545605
BFGS:    3 00:18:14      -30.208147        3.525396
BFGS:    4 00:22:01      -30.577873        1.652702
BFGS:    5 00:25:00      -30.649220        1.002813
BFGS:    6 00:27:36      -30.678773        0.482190
BFGS:    7 00:30:08      -30.691177        0.157585
BFGS:    8 00:31:53      -30.692745        0.037165
