      Step     Time          Energy          fmax
BFGS:    0 23:34:35        5.820392       77.868928
BFGS:    1 23:39:17      -25.269620       16.228699
BFGS:    2 23:42:57      -27.991195       10.101838
BFGS:    3 23:46:53      -30.339842        3.317489
BFGS:    4 23:50:35      -30.676289        1.656546
BFGS:    5 23:54:01      -30.747144        1.004921
BFGS:    6 23:56:37      -30.777184        0.501532
BFGS:    7 23:59:12      -30.790134        0.128406
BFGS:    8 00:01:12      -30.791289        0.035522
