      Step     Time          Energy          fmax
BFGS:    0 22:39:10        7.798584       80.883587
BFGS:    1 22:43:20      -24.736611       17.160343
BFGS:    2 22:46:35      -27.675927       10.610087
BFGS:    3 22:50:36      -30.150962        3.496394
BFGS:    4 22:53:27      -30.503271        1.775186
BFGS:    5 22:56:30      -30.580455        1.095822
BFGS:    6 22:59:11      -30.617587        0.474035
BFGS:    7 23:01:40      -30.629820        0.152396
BFGS:    8 23:03:23      -30.631181        0.034909
