      Step     Time          Energy          fmax
BFGS:    0 01:05:00        5.735864       77.888460
BFGS:    1 01:09:27      -25.462795       16.132769
BFGS:    2 01:12:49      -28.101141       10.055678
BFGS:    3 01:16:42      -30.396015        3.311977
BFGS:    4 01:19:59      -30.740890        1.520171
BFGS:    5 01:22:58      -30.806058        0.928256
BFGS:    6 01:25:33      -30.830968        0.457610
BFGS:    7 01:28:10      -30.841895        0.166129
BFGS:    8 01:29:59      -30.843583        0.035113
