      Step     Time          Energy          fmax
BFGS:    0 23:07:11        6.800094       79.362702
BFGS:    1 23:11:22      -25.006931       16.689231
BFGS:    2 23:14:25      -27.835526       10.347020
BFGS:    3 23:17:40      -30.244315        3.424469
BFGS:    4 23:20:42      -30.591856        1.708036
BFGS:    5 23:23:46      -30.664780        1.051880
BFGS:    6 23:26:26      -30.698655        0.487576
BFGS:    7 23:28:55      -30.711125        0.138442
BFGS:    8 23:30:38      -30.712375        0.034109
