      Step     Time          Energy          fmax
BFGS:    0 00:35:47        6.712390       79.394512
BFGS:    1 00:40:25      -25.204918       16.591553
BFGS:    2 00:43:46      -27.948261       10.290418
BFGS:    3 00:47:25      -30.301422        3.420041
BFGS:    4 00:50:37      -30.660187        1.582574
BFGS:    5 00:53:35      -30.728823        0.963242
BFGS:    6 00:56:10      -30.756140        0.475201
BFGS:    7 00:58:43      -30.767727        0.160424
BFGS:    8 01:00:30      -30.769279        0.035665
