      Step     Time          Energy          fmax
BFGS:    0 02:06:32        6.638277       79.395248
BFGS:    1 02:11:30      -25.386644       16.497623
BFGS:    2 02:15:17      -28.055176       10.228849
BFGS:    3 02:18:54      -30.348283        3.460683
BFGS:    4 02:22:38      -30.723339        1.467926
BFGS:    5 02:26:03      -30.787172        0.868849
BFGS:    6 02:29:04      -30.808780        0.454277
BFGS:    7 02:31:45      -30.819196        0.171337
BFGS:    8 02:33:46      -30.820913        0.039624
