      Step     Time          Energy          fmax
BFGS:    0 01:34:38        7.630331       80.907725
BFGS:    1 01:39:21      -25.126334       16.972649
BFGS:    2 01:43:41      -27.902464       10.476416
BFGS:    3 01:47:37      -30.256641        3.550544
BFGS:    4 01:51:11      -30.643650        1.534460
BFGS:    5 01:54:31      -30.712301        0.909810
BFGS:    6 01:57:14      -30.735859        0.463429
BFGS:    7 01:59:52      -30.746863        0.179237
BFGS:    8 02:01:50      -30.748805        0.042533
